# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
17896.5000 M235 142 2 306.0000 s18 sink2 3594 N s18->s13->sink1
18003.6000 M232 174 1 514.2000 s11 sink0 3591 N s11->sink1
18009.2000 M239 187 2 189.5000 s19 sink6 3596 N s19->s10->sink4
18367.7000 M241 169 2 297.3000 s17 sink2 3595 N s17->s14->sink5
18367.8000 M234 128 2 844.3000 s16 sink6 3585 N s16->s14->sink5
18367.9000 M237 126 1 707.9000 s14 sink9 3588 N s14->sink5
18368.0000 M240 157 2 496.9000 s17 sink9 3591 N s17->s14->sink5
18729.6000 M245 151 3 400.8000 s18 sink0 3593 N s18->s16->s17->sink3
18729.7000 M243 139 4 447.7000 s13 sink7 3592 N s13->s18->s16->s17->sink3
18729.8000 M242 144 4 574.9000 s10 sink4 3590 N s10->s18->s16->s17->sink3
18729.9000 M247 143 2 263.4000 s16 sink1 3595 N s16->s17->sink3
18730.0000 M246 197 4 392.3000 s10 sink1 3593 N s10->s18->s16->s17->sink3
18739.0000 M244 177 1 440.7000 s15 sink8 3592 N s15->sink0
19104.4000 M248 130 2 629.4000 s19 sink8 3589 N s19->s10->sink6
19104.5000 M250 160 1 527.0000 s10 sink2 3591 N s10->sink6
19104.6000 M252 165 1 317.5000 s10 sink5 3594 N s10->sink6
19550.9000 M254 132 2 276.8000 s19 sink7 3595 N s19->s11->sink2
19551.0000 M251 155 2 782.1000 s19 sink9 3586 N s19->s11->sink2
19930.8000 M255 104 2 458.0000 s18 sink4 3592 N s18->s19->sink3
20416.4000 M263 159 1 352.5000 s12 sink5 3594 N s12->sink6
20416.5000 M253 178 2 1222.0000 s16 sink6 3579 N s16->s12->sink6
20416.6000 M259 115 2 525.2000 s16 sink9 3591 N s16->s12->sink6
20416.7000 M258 110 1 549.1000 s12 sink7 3590 N s12->sink6
21037.4000 M266 181 3 723.1000 s14 sink0 3587 N s14->s16->s12->sink3
21037.5000 M264 176 3 907.5000 s14 sink7 3584 N s14->s16->s12->sink3
21168.1000 M257 186 2 1326.5000 s13 sink3 3577 N s13->s17->sink6
21168.2000 M271 121 1 522.9000 s17 sink0 3591 N s17->sink6
21168.3000 M249 102 2 2678.0000 s13 sink7 3555 N s13->s17->sink6
21168.4000 M256 178 2 1622.8000 s13 sink7 3572 N s13->s17->sink6
21168.5000 M265 182 1 932.3000 s17 sink6 3584 N s17->sink6
21763.9000 M273 191 1 897.0000 s18 sink4 3585 N s18->sink7
21764.0000 M262 185 2 1708.0000 s10 sink4 3571 N s10->s18->sink7
21764.1000 M268 100 2 1342.1000 s10 sink6 3577 N s10->s18->sink7
21764.2000 M270 108 3 1282.3000 s14 sink5 3578 N s14->s10->s18->sink7
21764.3000 M260 195 2 1816.8000 s13 sink8 3569 N s13->s18->sink7
22341.9000 M289 129 2 283.0000 s19 sink8 3595 N s19->s17->sink6
22342.0000 M272 114 3 1587.1000 s14 sink2 3573 N s14->s19->s17->sink6
22342.1000 M274 164 4 1448.5000 s10 sink7 3575 N s10->s14->s19->s17->sink6
22342.2000 M277 188 3 926.5000 s10 sink8 3584 N s10->s12->s17->sink6
22342.3000 M281 113 3 740.9000 s10 sink1 3587 N s10->s12->s17->sink6
22342.4000 M287 187 1 471.0000 s17 sink4 3592 N s17->sink6
22342.5000 M278 142 4 878.8000 s14 sink7 3585 N s14->s10->s12->s17->sink6
22342.6000 M285 105 2 519.1000 s19 sink1 3591 N s19->s17->sink6
22342.7000 M276 172 3 1125.2000 s13 sink7 3581 N s13->s19->s17->sink6
22342.8000 M286 190 2 493.0000 s12 sink7 3591 N s12->s17->sink6
22342.9000 M267 155 3 1955.8000 s11 sink7 3567 N s11->s19->s17->sink6
22343.0000 M275 120 3 1244.3000 s14 sink9 3579 N s14->s19->s17->sink6
22343.1000 M279 126 2 812.6000 s19 sink0 3586 N s19->s17->sink6
22343.2000 M269 118 2 1867.5000 s19 sink9 3568 N s19->s17->sink6
22637.9000 M261 159 2 2585.4000 s15 sink4 3556 N s15->s16->sink4
22638.0000 M283 190 2 920.7000 s13 sink6 3584 N s13->s16->sink4
22638.1000 M288 178 1 696.5000 s16 sink3 3588 N s16->sink4
22638.2000 M296 185 1 230.2000 s16 sink8 3596 N s16->sink4
22638.3000 M280 124 1 1082.1000 s16 sink5 3581 N s16->sink4
22706.9000 M294 191 1 462.3000 s14 sink8 3592 N s14->sink7
22707.0000 M290 185 2 621.8000 s13 sink9 3589 N s13->s14->sink7
22758.0000 M293 147 1 517.7000 s11 sink9 3591 N s11->sink9
22758.0000 M284 117 2 960.3000 s11 sink3 3583 N s11->s14->sink8
22758.1000 M297 119 2 188.2000 s11 sink1 3596 N s11->s14->sink8
22758.1000 M282 189 1 1121.1000 s11 sink5 3581 N s11->sink9
23141.1000 M291 150 1 1032.4000 s12 sink9 3582 N s12->sink6
